127.0.0.1, 2016-08-06 13:41:11, GET, /, HTTP/1.1, 200, 0.351000
127.0.0.1, 2016-08-06 13:41:23, POST, /, HTTP/1.1, 303, 0.095000
127.0.0.1, 2016-08-06 13:41:23, GET, /init/default/index, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-08-06 14:19:17, GET, /init/default/index, HTTP/1.1, 500, 0.529000
127.0.0.1, 2016-08-06 14:19:19, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-19-16.7ef28032-5a43-414a-a56c-531c71444857, HTTP/1.1, 303, 0.303000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/default/index, HTTP/1.1, 200, 0.100000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-08-06 14:19:20, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-08-06 14:19:21, GET, /admin/default/undefined, HTTP/1.1, 303, 0.016000
127.0.0.1, 2016-08-06 14:19:21, GET, /admin/default/index, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-08-06 14:19:23, POST, /admin/default/index, HTTP/1.1, 200, 1.084000
127.0.0.1, 2016-08-06 14:19:25, GET, /admin/default/undefined, HTTP/1.1, 303, 0.013000
127.0.0.1, 2016-08-06 14:19:25, GET, /admin/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2016-08-06 14:19:29, POST, /admin/default/index, HTTP/1.1, 200, 2.119000
127.0.0.1, 2016-08-06 14:19:29, GET, /admin/default/undefined, HTTP/1.1, 303, 0.672000
127.0.0.1, 2016-08-06 14:19:30, GET, /admin/default/index, HTTP/1.1, 200, 0.071000
127.0.0.1, 2016-08-06 14:19:31, GET, /admin/default/undefined, HTTP/1.1, 303, 0.012000
127.0.0.1, 2016-08-06 14:19:32, GET, /admin/default/index, HTTP/1.1, 200, 0.069000
127.0.0.1, 2016-08-06 14:19:34, POST, /admin/default/index, HTTP/1.1, 303, 0.090000
127.0.0.1, 2016-08-06 14:19:34, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-19-16.7ef28032-5a43-414a-a56c-531c71444857, HTTP/1.1, 200, 0.090000
127.0.0.1, 2016-08-06 14:20:08, GET, /init/default/index, HTTP/1.1, 200, 0.204000
127.0.0.1, 2016-08-06 14:21:01, GET, /init/default/index, HTTP/1.1, 200, 0.195000
127.0.0.1, 2016-08-06 14:21:41, POST, /init/default/index, HTTP/1.1, 303, 0.143000
127.0.0.1, 2016-08-06 14:21:41, GET, /init/default/index, HTTP/1.1, 500, 0.129000
127.0.0.1, 2016-08-06 14:21:43, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-21-41.ce76cfee-1685-4519-98b7-4b29facadde1, HTTP/1.1, 200, 0.106000
127.0.0.1, 2016-08-06 14:22:24, GET, /init/default/index, HTTP/1.1, 500, 0.137000
127.0.0.1, 2016-08-06 14:22:26, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-22-24.d80dc73e-b58b-42f3-a037-9a4de34a3aae, HTTP/1.1, 200, 0.104000
127.0.0.1, 2016-08-06 14:23:56, GET, /init/default/index, HTTP/1.1, 500, 0.140000
127.0.0.1, 2016-08-06 14:27:24, GET, /init/default/index, HTTP/1.1, 500, 0.096000
127.0.0.1, 2016-08-06 14:27:26, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-27-24.383fb4d7-4936-44bd-a13d-2fb5ac5cfbef, HTTP/1.1, 200, 0.097000
127.0.0.1, 2016-08-06 14:29:16, GET, /init/default/index, HTTP/1.1, 500, 0.127000
127.0.0.1, 2016-08-06 14:29:18, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-29-16.0e0afac4-a223-462a-b1fd-9777d7a31862, HTTP/1.1, 200, 0.086000
127.0.0.1, 2016-08-06 14:32:05, GET, /init/default/index, HTTP/1.1, 500, 0.196000
127.0.0.1, 2016-08-06 14:32:09, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-32-05.ccb1e7e8-7db6-4794-9225-35029c946b0b, HTTP/1.1, 200, 0.169000
127.0.0.1, 2016-08-06 14:32:55, GET, /init/default/index, HTTP/1.1, 500, 0.290000
127.0.0.1, 2016-08-06 14:32:57, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-32-55.f4f40426-c424-49b2-b809-91914d412654, HTTP/1.1, 200, 0.141000
127.0.0.1, 2016-08-06 14:35:37, GET, /init/default/index, HTTP/1.1, 200, 0.214000
127.0.0.1, 2016-08-06 14:36:25, GET, /init/default/index, HTTP/1.1, 500, 0.219000
127.0.0.1, 2016-08-06 14:36:28, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-36-25.96e7e814-0e93-4930-a0e2-3b2d4a595157, HTTP/1.1, 200, 0.146000
127.0.0.1, 2016-08-06 14:36:28, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-06 14:37:28, GET, /init/default/index, HTTP/1.1, 500, 0.151000
127.0.0.1, 2016-08-06 14:37:30, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-37-28.403245e1-dc09-4e4d-ab85-f1eda95d98df, HTTP/1.1, 200, 0.116000
127.0.0.1, 2016-08-06 14:38:27, GET, /init/default/index, HTTP/1.1, 200, 0.104000
127.0.0.1, 2016-08-06 14:41:33, GET, /init/default/index, HTTP/1.1, 200, 0.134000
127.0.0.1, 2016-08-06 14:43:51, GET, /init/default/index, HTTP/1.1, 200, 0.218000
127.0.0.1, 2016-08-06 14:46:21, GET, /init/default/index, HTTP/1.1, 200, 0.145000
127.0.0.1, 2016-08-06 14:46:31, POST, /init/default/index, HTTP/1.1, 303, 0.157000
127.0.0.1, 2016-08-06 14:46:31, GET, /init/default/index, HTTP/1.1, 200, 0.115000
127.0.0.1, 2016-08-06 14:49:05, GET, /init/default/index, HTTP/1.1, 500, 0.262000
127.0.0.1, 2016-08-06 14:49:11, GET, /admin/default/ticket/init/127.0.0.1.2016-08-06.14-49-05.9431a674-cd0f-481f-a01e-9ceee2c6f94b, HTTP/1.1, 200, 0.182000
127.0.0.1, 2016-08-06 14:52:28, GET, /init/default/index, HTTP/1.1, 200, 0.118000
127.0.0.1, 2016-08-06 14:54:48, GET, /init/default/index, HTTP/1.1, 200, 0.135000
